G6P_in,NAD_in,NADH_obs
500,1000,127.0924477
500,1000,124.6695303
500,1000,123.9780418
1000,1000,208.4820513
1000,1000,208.8186374
1000,1000,209.4443274
1500,1000,269.7375419
1500,1000,271.1072986
1500,1000,270.8859915
3000,1000,370.6759923
3000,1000,372.6615478
3000,1000,372.8726703
500,3000,165.5845984
500,3000,164.2049685
500,3000,164.0617031
1000,3000,311.5134188
1000,3000,312.7262309
1000,3000,313.5729705
1500,3000,424.6991971
1500,3000,425.4055101
1500,3000,425.5224717
3000,3000,614.2539068
3000,3000,613.6058143
3000,3000,615.0680446